archivo,lsm_spacy,lsm_liwc,grupo
00-1751_KENN_vs_STEV,0.8132508119204945,0.84,SCOTUS
00-1751_KENN_vs_GINS,0.8769846598806644,0.88,SCOTUS
00-1751_KENN_vs_CONN,0.8594344905937106,0.87,SCOTUS
00-1751_KENN_vs_YOUN,0.8274866698597938,0.85,SCOTUS
00-1751_KENN_vs_BREY,0.8428576208517727,0.85,SCOTUS
00-1751_KENN_vs_OLSO,0.852074325013607,0.86,SCOTUS
00-1751_KENN_vs_CHAN,0.8898036945424038,0.93,SCOTUS
00-1751_KENN_vs_FRAN,0.8937815689005565,0.91,SCOTUS
00-1751_STEV_vs_GINS,0.8406826538474244,0.9,SCOTUS
00-1751_STEV_vs_CONN,0.8988807420486788,0.92,SCOTUS
00-1751_STEV_vs_YOUN,0.8865624763202019,0.93,SCOTUS
00-1751_STEV_vs_BREY,0.8489336090037061,0.86,SCOTUS
00-1751_STEV_vs_OLSO,0.8488026444601822,0.88,SCOTUS
00-1751_STEV_vs_CHAN,0.9214162486864218,0.87,SCOTUS
00-1751_STEV_vs_FRAN,0.8210156453878005,0.88,SCOTUS
00-1751_GINS_vs_CONN,0.9103692491154458,0.92,SCOTUS
00-1751_GINS_vs_YOUN,0.863346245376307,0.87,SCOTUS
00-1751_GINS_vs_BREY,0.7740041043129349,0.89,SCOTUS
00-1751_GINS_vs_OLSO,0.9023702310690985,0.88,SCOTUS
00-1751_GINS_vs_CHAN,0.8358114015323203,0.92,SCOTUS
00-1751_GINS_vs_FRAN,0.8483713465064504,0.87,SCOTUS
00-1751_CONN_vs_YOUN,0.8795766624054328,0.9,SCOTUS
00-1751_CONN_vs_BREY,0.8036194576653022,0.87,SCOTUS
00-1751_CONN_vs_OLSO,0.8427653111668395,0.87,SCOTUS
00-1751_CONN_vs_CHAN,0.9060359805403001,0.94,SCOTUS
00-1751_CONN_vs_FRAN,0.8376863388356874,0.87,SCOTUS
00-1751_YOUN_vs_BREY,0.7658226494514198,0.81,SCOTUS
00-1751_YOUN_vs_OLSO,0.8995422182545819,0.87,SCOTUS
00-1751_YOUN_vs_CHAN,0.8776442377363743,0.87,SCOTUS
00-1751_YOUN_vs_FRAN,0.8501320120590036,0.88,SCOTUS
00-1751_BREY_vs_OLSO,0.7843289358721999,0.8,SCOTUS
00-1751_BREY_vs_CHAN,0.8698421896264351,0.88,SCOTUS
00-1751_BREY_vs_FRAN,0.8387200320379923,0.87,SCOTUS
00-1751_OLSO_vs_CHAN,0.859459400202279,0.88,SCOTUS
00-1751_OLSO_vs_FRAN,0.8467524497810982,0.86,SCOTUS
00-1751_CHAN_vs_FRAN,0.8808719887346796,0.9,SCOTUS
01-682_ROBB_vs_CONN,0.7270214465079732,0.89,SCOTUS
