id_virtual,lsm_model,grupo,lsm_liwc
00-1519_SCHL_vs_STEV,0.8682397005582085,SCOTUS,0.86
00-1519_SCHL_vs_BRAM,0.9101597437351966,SCOTUS,0.89
00-1519_SCHL_vs_BREY,0.8220689745542656,SCOTUS,0.83
00-1519_GINS_vs_SCAL,0.9054001612566926,SCOTUS,0.89
00-1519_GINS_vs_STEV,0.8935776125670392,SCOTUS,0.88
00-1519_GINS_vs_BRAM,0.8518111908439866,SCOTUS,0.85
00-1519_GINS_vs_BREY,0.8662468265436304,SCOTUS,0.84
00-1519_SCAL_vs_STEV,0.8872482148345875,SCOTUS,0.93
00-1519_SCAL_vs_BRAM,0.8750947140756982,SCOTUS,0.88
00-1519_SCAL_vs_BREY,0.8984742123921623,SCOTUS,0.94
00-1519_STEV_vs_BRAM,0.9306676654358933,SCOTUS,0.9
00-1519_STEV_vs_BREY,0.8914961423469036,SCOTUS,0.92
00-1519_BRAM_vs_BREY,0.8513788570047323,SCOTUS,0.88
00-832_REHN_vs_FELD,0.6283531345754896,SCOTUS,0.54
00-832_REHN_vs_SCAL,0.6601415097043932,SCOTUS,0.55
00-832_REHN_vs_SOUT,0.643584708687801,SCOTUS,0.56
00-832_REHN_vs_GINS,0.6491954648042646,SCOTUS,0.54
00-832_REHN_vs_KENN,0.6944332950899617,SCOTUS,0.6
00-832_REHN_vs_KEIS,0.649220945685115,SCOTUS,0.54
00-832_REHN_vs_STEI,0.6413215294723358,SCOTUS,0.56
00-832_REHN_vs_STEV,0.6592188532212712,SCOTUS,0.57
00-832_REHN_vs_BREY,0.6668281389136945,SCOTUS,0.59
00-832_FELD_vs_SCAL,0.9292558017557611,SCOTUS,0.89
00-832_FELD_vs_SOUT,0.8963309724078088,SCOTUS,0.88
00-832_FELD_vs_GINS,0.8804268404931032,SCOTUS,0.85
00-832_FELD_vs_KENN,0.8728697184110414,SCOTUS,0.88
00-832_FELD_vs_KEIS,0.9145380489181087,SCOTUS,0.96
00-832_FELD_vs_STEI,0.9274523654662892,SCOTUS,0.89
00-832_FELD_vs_STEV,0.8928035216347006,SCOTUS,0.87
00-832_FELD_vs_BREY,0.8672476360034591,SCOTUS,0.85
00-832_SCAL_vs_SOUT,0.9322312208280449,SCOTUS,0.93
00-832_SCAL_vs_GINS,0.8537832710657232,SCOTUS,0.87
00-832_SCAL_vs_KENN,0.8798257797305112,SCOTUS,0.91
00-832_SCAL_vs_KEIS,0.8796047866103149,SCOTUS,0.87
00-832_SCAL_vs_STEI,0.8747779983988269,SCOTUS,0.87
00-832_SCAL_vs_STEV,0.9007975698278656,SCOTUS,0.92
00-832_SCAL_vs_BREY,0.875034289501254,SCOTUS,0.91
00-832_SOUT_vs_GINS,0.8462526530484871,SCOTUS,0.87
00-832_SOUT_vs_KENN,0.8852140547557592,SCOTUS,0.92
00-832_SOUT_vs_KEIS,0.8492158375316944,SCOTUS,0.87
00-832_SOUT_vs_STEI,0.8387983903544312,SCOTUS,0.82
00-832_SOUT_vs_STEV,0.8713688092306692,SCOTUS,0.87
00-832_SOUT_vs_BREY,0.8614237087328062,SCOTUS,0.88
00-832_GINS_vs_KENN,0.8071805996335223,SCOTUS,0.82
00-832_GINS_vs_KEIS,0.8338135282275608,SCOTUS,0.83
