archivo,lsm_liwc
sw3819-ms98-a.phrases,0.86
sw3826-ms98-a.phrases,0.83
sw3829-ms98-a.phrases,0.88
sw3836-ms98-a.phrases,0.91
sw3848-ms98-a.phrases,0.88
sw3857-ms98-a.phrases,0.89
sw3860-ms98-a.phrases,0.83
sw3861-ms98-a.phrases,0.83
sw3878-ms98-a.phrases,0.93
sw3905-ms98-a.phrases,0.87
sw3906-ms98-a.phrases,0.84
sw3927-ms98-a.phrases,0.88
sw3942-ms98-a.phrases,0.8
sw3945-ms98-a.phrases,0.9
sw3946-ms98-a.phrases,0.9
sw3958-ms98-a.phrases,0.9
sw3964-ms98-a.phrases,0.87
sw3976-ms98-a.phrases,0.93
sw4020-ms98-a.phrases,0.86
sw4024-ms98-a.phrases,0.92
sw4027-ms98-a.phrases,0.88
sw4030-ms98-a.phrases,0.89
sw4060-ms98-a.phrases,0.87
sw4066-ms98-a.phrases,0.88
sw4090-ms98-a.phrases,0.87
sw4104-ms98-a.phrases,0.88
sw4105-ms98-a.phrases,0.91
sw4113-ms98-a.phrases,0.91
sw4114-ms98-a.phrases,0.88
sw4115-ms98-a.phrases,0.83
sw4128-ms98-a.phrases,0.87
sw4130-ms98-a.phrases,0.88
sw4141-ms98-a.phrases,0.83
sw4149-ms98-a.phrases,0.84
sw4164-ms98-a.phrases,0.9
sw4186-ms98-a.phrases,0.85
sw4196-ms98-a.phrases,0.84
sw4200-ms98-a.phrases,0.84
sw4201-ms98-a.phrases,0.93
sw4205-ms98-a.phrases,0.75
sw4206-ms98-a.phrases,0.85
sw4211-ms98-a.phrases,0.8
sw4215-ms98-a.phrases,0.95
sw4218-ms98-a.phrases,0.92
sw4222-ms98-a.phrases,0.86
sw4229-ms98-a.phrases,0.93
sw4241-ms98-a.phrases,0.82
sw4254-ms98-a.phrases,0.9
sw4265-ms98-a.phrases,0.87
sw4281-ms98-a.phrases,0.92
sw4285-ms98-a.phrases,0.93
sw4293-ms98-a.phrases,0.89
sw4298-ms98-a.phrases,0.88
sw4300-ms98-a.phrases,0.83
sw4303-ms98-a.phrases,0.9
sw4304-ms98-a.phrases,0.82
sw4322-ms98-a.phrases,0.93
sw4356-ms98-a.phrases,0.9
sw4368-ms98-a.phrases,0.93
sw4501-ms98-a.phrases,0.89
sw4522-ms98-a.phrases,0.91
sw4523-ms98-a.phrases,0.92
sw4540-ms98-a.phrases,0.84
sw4565-ms98-a.phrases,0.9
sw4576-ms98-a.phrases,0.92
sw4588-ms98-a.phrases,0.87
sw4590-ms98-a.phrases,0.88
sw4616-ms98-a.phrases,0.85
sw4643-ms98-a.phrases,0.82
sw4660-ms98-a.phrases,0.89
sw4765-ms98-a.phrases,0.87
sw4785-ms98-a.phrases,0.83
sw4814-ms98-a.phrases,0.85
sw4821-ms98-a.phrases,0.84
sw4837-ms98-a.phrases,0.88
sw4846-ms98-a.phrases,0.84
