id_virtual,lsm_model,grupo,lsm_liwc
00-1519_SCHL_vs_STEV,0.8581733981191438,SCOTUS,0.86
00-1519_SCHL_vs_BRAM,0.9148361261388451,SCOTUS,0.89
00-1519_SCHL_vs_BREY,0.8273184083961906,SCOTUS,0.83
00-1519_GINS_vs_SCAL,0.9035863148659198,SCOTUS,0.89
00-1519_GINS_vs_STEV,0.8981891999097391,SCOTUS,0.88
00-1519_GINS_vs_BRAM,0.8501171609034277,SCOTUS,0.85
00-1519_GINS_vs_BREY,0.8638582587481939,SCOTUS,0.84
00-1519_SCAL_vs_STEV,0.9049816765995897,SCOTUS,0.93
00-1519_SCAL_vs_BRAM,0.8777015189032449,SCOTUS,0.88
00-1519_SCAL_vs_BREY,0.8962459296267739,SCOTUS,0.94
00-1519_STEV_vs_BRAM,0.9074705049196983,SCOTUS,0.9
00-1519_STEV_vs_BREY,0.911432429957018,SCOTUS,0.92
00-1519_BRAM_vs_BREY,0.8524064145738287,SCOTUS,0.88
00-832_REHN_vs_FELD,0.5982387426279709,SCOTUS,0.54
00-832_REHN_vs_SCAL,0.637902601798017,SCOTUS,0.55
00-832_REHN_vs_SOUT,0.6290781245876305,SCOTUS,0.56
00-832_REHN_vs_GINS,0.62279131523425,SCOTUS,0.54
00-832_REHN_vs_KENN,0.6766403786169979,SCOTUS,0.6
00-832_REHN_vs_KEIS,0.6347530292244155,SCOTUS,0.54
00-832_REHN_vs_STEI,0.6223668448326499,SCOTUS,0.56
00-832_REHN_vs_STEV,0.6384420162129791,SCOTUS,0.57
00-832_REHN_vs_BREY,0.6637150261949066,SCOTUS,0.59
00-832_FELD_vs_SCAL,0.9139390132094174,SCOTUS,0.89
00-832_FELD_vs_SOUT,0.8798549551651837,SCOTUS,0.88
00-832_FELD_vs_GINS,0.8765615812279993,SCOTUS,0.85
00-832_FELD_vs_KENN,0.8511209628433174,SCOTUS,0.88
00-832_FELD_vs_KEIS,0.9352372305272809,SCOTUS,0.96
00-832_FELD_vs_STEI,0.9115311464765903,SCOTUS,0.89
00-832_FELD_vs_STEV,0.8743661395940898,SCOTUS,0.87
00-832_FELD_vs_BREY,0.8464590359674905,SCOTUS,0.85
00-832_SCAL_vs_SOUT,0.9473932557452994,SCOTUS,0.93
00-832_SCAL_vs_GINS,0.8529351629921333,SCOTUS,0.87
00-832_SCAL_vs_KENN,0.8988403446762927,SCOTUS,0.91
00-832_SCAL_vs_KEIS,0.8837234128209596,SCOTUS,0.87
00-832_SCAL_vs_STEI,0.8772869484251795,SCOTUS,0.87
00-832_SCAL_vs_STEV,0.905142149426736,SCOTUS,0.92
00-832_SCAL_vs_BREY,0.8889034009679827,SCOTUS,0.91
00-832_SOUT_vs_GINS,0.8342913187701618,SCOTUS,0.87
00-832_SOUT_vs_KENN,0.8889808919911533,SCOTUS,0.92
00-832_SOUT_vs_KEIS,0.8557920932255496,SCOTUS,0.87
00-832_SOUT_vs_STEI,0.8392991543235967,SCOTUS,0.82
00-832_SOUT_vs_STEV,0.867565234520456,SCOTUS,0.87
00-832_SOUT_vs_BREY,0.8604784122896612,SCOTUS,0.88
00-832_GINS_vs_KENN,0.8001617720451366,SCOTUS,0.82
00-832_GINS_vs_KEIS,0.8290156683595588,SCOTUS,0.83
00-832_GINS_vs_STEI,0.9273823867372543,SCOTUS,0.89
00-832_GINS_vs_STEV,0.847446710156125,SCOTUS,0.86
00-832_GINS_vs_BREY,0.8222688095893402,SCOTUS,0.83
00-832_KENN_vs_KEIS,0.8746398299859677,SCOTUS,0.87
00-832_KENN_vs_STEI,0.8135654285906655,SCOTUS,0.83
00-832_KENN_vs_STEV,0.85317248299981,SCOTUS,0.87
00-832_KENN_vs_BREY,0.8513247925865237,SCOTUS,0.88
00-832_KEIS_vs_STEI,0.8699813610160099,SCOTUS,0.89
00-832_KEIS_vs_STEV,0.8619357288556504,SCOTUS,0.85
00-832_KEIS_vs_BREY,0.8085996328613348,SCOTUS,0.84
00-832_STEI_vs_STEV,0.8507823385389501,SCOTUS,0.87
00-832_STEI_vs_BREY,0.8576267153482146,SCOTUS,0.87
00-832_STEV_vs_BREY,0.863169709830298,SCOTUS,0.9
01-714_REHN_vs_LEE0,0.8813452914516154,SCOTUS,0.88
01-714_REHN_vs_CONN,0.8691158504681937,SCOTUS,0.9
01-714_REHN_vs_KENN,0.8916148946219502,SCOTUS,0.92
01-714_REHN_vs_SOUT,0.9056646125936806,SCOTUS,0.87
01-714_REHN_vs_SCAL,0.8981532385082855,SCOTUS,0.87
01-714_REHN_vs_GINS,0.7821156677567536,SCOTUS,0.81
01-714_REHN_vs_BREY,0.8941305295934239,SCOTUS,0.91
01-714_REHN_vs_DELL,0.872824138438021,SCOTUS,0.89
01-714_REHN_vs_OLSO,0.8026485298554368,SCOTUS,0.81
01-714_LEE0_vs_CONN,0.9127057949634765,SCOTUS,0.92
01-714_LEE0_vs_KENN,0.8648795251987302,SCOTUS,0.88
01-714_LEE0_vs_SOUT,0.9106103321320553,SCOTUS,0.9
01-714_LEE0_vs_SCAL,0.832144715648528,SCOTUS,0.82
01-714_LEE0_vs_GINS,0.8122106848140228,SCOTUS,0.82
01-714_LEE0_vs_BREY,0.8431169405713588,SCOTUS,0.84
01-714_LEE0_vs_DELL,0.9181221810377596,SCOTUS,0.92
01-714_LEE0_vs_OLSO,0.9164971015424701,SCOTUS,0.92
01-714_CONN_vs_KENN,0.9253345176069528,SCOTUS,0.94
01-714_CONN_vs_SOUT,0.9265951917348139,SCOTUS,0.94
01-714_CONN_vs_SCAL,0.8578021978905613,SCOTUS,0.85
01-714_CONN_vs_GINS,0.8595282809609802,SCOTUS,0.86
01-714_CONN_vs_BREY,0.8833749183856303,SCOTUS,0.91
01-714_CONN_vs_DELL,0.9420183155199078,SCOTUS,0.96
01-714_CONN_vs_OLSO,0.8814154934842376,SCOTUS,0.87
