archivo,lsm_spacy,lsm_liwc,grupo
99-1823_CLEM_vs_SCAL,0.9129569333726022,0.93,SCOTUS
99-1823_CLEM_vs_KENN,0.8755183767209592,0.88,SCOTUS
99-1823_CLEM_vs_GINS,0.881447302077784,0.92,SCOTUS
99-1823_CLEM_vs_SOUT,0.8745300520814843,0.91,SCOTUS
99-1823_CLEM_vs_GORD,0.8872396809285177,0.9,SCOTUS
99-1823_CLEM_vs_BREY,0.7863270408891604,0.84,SCOTUS
99-1823_SCAL_vs_KENN,0.9292145482008521,0.91,SCOTUS
99-1823_SCAL_vs_GINS,0.9486424375223597,0.94,SCOTUS
99-1823_SCAL_vs_SOUT,0.8980914794324915,0.91,SCOTUS
99-1823_SCAL_vs_GORD,0.8801249630458412,0.91,SCOTUS
99-1823_SCAL_vs_BREY,0.8436431785677339,0.85,SCOTUS
99-1823_KENN_vs_GINS,0.92119045998653,0.93,SCOTUS
99-1823_KENN_vs_SOUT,0.9107791074500021,0.89,SCOTUS
99-1823_KENN_vs_GORD,0.8893254447965917,0.89,SCOTUS
99-1823_KENN_vs_BREY,0.8509035901494864,0.89,SCOTUS
99-1823_GINS_vs_SOUT,0.8651888333253597,0.91,SCOTUS
99-1823_GINS_vs_GORD,0.8840141192098825,0.89,SCOTUS
99-1823_GINS_vs_BREY,0.8414022129482266,0.9,SCOTUS
99-1823_SOUT_vs_GORD,0.8777686945665462,0.93,SCOTUS
99-1823_SOUT_vs_BREY,0.8608214993855893,0.89,SCOTUS
99-1823_GORD_vs_BREY,0.8076568092868787,0.86,SCOTUS
01-651_REHN_vs_REID,0.8677955358001388,0.83,SCOTUS
01-651_REHN_vs_CONN,0.690415059840877,0.73,SCOTUS
01-651_REHN_vs_GINS,0.7501772382751115,0.77,SCOTUS
01-651_REHN_vs_SCAL,0.8074006753416862,0.81,SCOTUS
01-651_REHN_vs_KENN,0.7725533486472891,0.81,SCOTUS
01-651_REHN_vs_MINE,0.8535557641034508,0.8,SCOTUS
01-651_REHN_vs_ALB2,0.8024102445475144,0.8,SCOTUS
01-651_REHN_vs_BREY,0.7976756068854245,0.76,SCOTUS
01-651_REID_vs_CONN,0.798659808954279,0.88,SCOTUS
01-651_REID_vs_GINS,0.8046569878613352,0.86,SCOTUS
01-651_REID_vs_SCAL,0.787688546139516,0.88,SCOTUS
01-651_REID_vs_KENN,0.8554506536367176,0.87,SCOTUS
