archivo,lsm_model,grupo,lsm_liwc
sw3000-ms98-a.phrases,0.8949772027792454,SW_PROCESSED,0.89
sw3002-ms98-a.phrases,0.8137387255481885,SW_PROCESSED,0.82
sw3006-ms98-a.phrases,0.9433303053100287,SW_PROCESSED,0.94
sw3008-ms98-a.phrases,0.8554507121625585,SW_PROCESSED,0.87
sw3013-ms98-a.phrases,0.9176195910488609,SW_PROCESSED,0.91
sw3014-ms98-a.phrases,0.903177926999942,SW_PROCESSED,0.9
sw3016-ms98-a.phrases,0.8514351117923977,SW_PROCESSED,0.85
sw3020-ms98-a.phrases,0.88517685676063,SW_PROCESSED,0.86
sw3043-ms98-a.phrases,0.9142956272647446,SW_PROCESSED,0.89
sw3049-ms98-a.phrases,0.9380322085869397,SW_PROCESSED,0.92
sw3065-ms98-a.phrases,0.8896508916538544,SW_PROCESSED,0.86
sw3072-ms98-a.phrases,0.8546601202473778,SW_PROCESSED,0.9
sw3078-ms98-a.phrases,0.8489906357643155,SW_PROCESSED,0.84
sw3079-ms98-a.phrases,0.7987826149661676,SW_PROCESSED,0.82
sw3085-ms98-a.phrases,0.8789370153761673,SW_PROCESSED,0.89
sw3091-ms98-a.phrases,0.8490401023184211,SW_PROCESSED,0.89
sw3099-ms98-a.phrases,0.8429729624105669,SW_PROCESSED,0.87
sw3125-ms98-a.phrases,0.8491505298077995,SW_PROCESSED,0.89
sw3152-ms98-a.phrases,0.8889880801589045,SW_PROCESSED,0.89
sw3153-ms98-a.phrases,0.8933851798169391,SW_PROCESSED,0.91
sw3197-ms98-a.phrases,0.8462130462165439,SW_PROCESSED,0.87
sw3198-ms98-a.phrases,0.8918136395725853,SW_PROCESSED,0.93
sw3199-ms98-a.phrases,0.5013419884127062,SW_PROCESSED,0.45
sw3200-ms98-a.phrases,0.8670695087691965,SW_PROCESSED,0.83
sw3224-ms98-a.phrases,0.9216979849416869,SW_PROCESSED,0.9
sw3235-ms98-a.phrases,0.8976440890035706,SW_PROCESSED,0.89
sw3251-ms98-a.phrases,0.8871816075402699,SW_PROCESSED,0.91
sw3266-ms98-a.phrases,0.8579593527434286,SW_PROCESSED,0.88
sw3268-ms98-a.phrases,0.8491822527723034,SW_PROCESSED,0.85
sw3275-ms98-a.phrases,0.9152634784532621,SW_PROCESSED,0.93
sw3290-ms98-a.phrases,0.849007662391264,SW_PROCESSED,0.81
sw3299-ms98-a.phrases,0.8504710329662936,SW_PROCESSED,0.85
sw3300-ms98-a.phrases,0.838900065478956,SW_PROCESSED,0.83
sw3309-ms98-a.phrases,0.8802040582991649,SW_PROCESSED,0.91
sw3329-ms98-a.phrases,0.9124114837311477,SW_PROCESSED,0.95
sw3350-ms98-a.phrases,0.8889346856884386,SW_PROCESSED,0.87
sw3364-ms98-a.phrases,0.9043720931189949,SW_PROCESSED,0.91
sw3376-ms98-a.phrases,0.852106930573149,SW_PROCESSED,0.85
sw3395-ms98-a.phrases,0.9143819769423325,SW_PROCESSED,0.92
sw3396-ms98-a.phrases,0.8627338600008074,SW_PROCESSED,0.84
sw3401-ms98-a.phrases,0.815239083022891,SW_PROCESSED,0.86
sw3405-ms98-a.phrases,0.870961917465013,SW_PROCESSED,0.85
sw3421-ms98-a.phrases,0.8230393422111859,SW_PROCESSED,0.87
sw3422-ms98-a.phrases,0.9382785626846606,SW_PROCESSED,0.87
sw3440-ms98-a.phrases,0.8311363506943008,SW_PROCESSED,0.87
sw3442-ms98-a.phrases,0.8959561606880537,SW_PROCESSED,0.91
sw3444-ms98-a.phrases,0.8613406475906211,SW_PROCESSED,0.92
sw3448-ms98-a.phrases,0.7597364543847978,SW_PROCESSED,0.78
sw3477-ms98-a.phrases,0.9490640447482572,SW_PROCESSED,0.92
sw3479-ms98-a.phrases,0.8209831614427118,SW_PROCESSED,0.82
sw3492-ms98-a.phrases,0.8084293340139361,SW_PROCESSED,0.81
sw3511-ms98-a.phrases,0.8815253242864387,SW_PROCESSED,0.9
sw3513-ms98-a.phrases,0.7813659793244717,SW_PROCESSED,0.81
sw3521-ms98-a.phrases,0.9086697202676731,SW_PROCESSED,0.88
sw3529-ms98-a.phrases,0.9122773200571239,SW_PROCESSED,0.89
sw3530-ms98-a.phrases,0.8345747783256963,SW_PROCESSED,0.83
sw3535-ms98-a.phrases,0.9262358005540063,SW_PROCESSED,0.93
sw3538-ms98-a.phrases,0.8569111762471879,SW_PROCESSED,0.84
sw3546-ms98-a.phrases,0.8434315723061693,SW_PROCESSED,0.93
sw3567-ms98-a.phrases,0.7450242826003342,SW_PROCESSED,0.84
sw3595-ms98-a.phrases,0.8788558966734836,SW_PROCESSED,0.92
sw3603-ms98-a.phrases,0.8385086098689876,SW_PROCESSED,0.89
sw3622-ms98-a.phrases,0.9048197983854572,SW_PROCESSED,0.9
sw3628-ms98-a.phrases,0.8832186496175171,SW_PROCESSED,0.89
sw3632-ms98-a.phrases,0.9151629645155676,SW_PROCESSED,0.87
sw3641-ms98-a.phrases,0.8591652765557348,SW_PROCESSED,0.9
sw3651-ms98-a.phrases,0.8773838129537261,SW_PROCESSED,0.83
sw3661-ms98-a.phrases,0.8495538775218309,SW_PROCESSED,0.89
sw3679-ms98-a.phrases,0.7830343869668043,SW_PROCESSED,0.85
sw3682-ms98-a.phrases,0.8280224666760725,SW_PROCESSED,0.84
sw3686-ms98-a.phrases,0.8370445678032634,SW_PROCESSED,0.83
sw3698-ms98-a.phrases,0.9532898982213283,SW_PROCESSED,0.94
sw3700-ms98-a.phrases,0.7498084344990346,SW_PROCESSED,0.69
sw3702-ms98-a.phrases,0.8584970461890572,SW_PROCESSED,0.9
sw3724-ms98-a.phrases,0.8986459207716383,SW_PROCESSED,0.9
sw3735-ms98-a.phrases,0.8734675264512819,SW_PROCESSED,0.86
sw3747-ms98-a.phrases,0.8077165439491756,SW_PROCESSED,0.79
sw3757-ms98-a.phrases,0.8807067703848963,SW_PROCESSED,0.87
sw3758-ms98-a.phrases,0.8796233913123068,SW_PROCESSED,0.87
sw3760-ms98-a.phrases,0.9125874667887062,SW_PROCESSED,0.93
sw3771-ms98-a.phrases,0.8725698908392747,SW_PROCESSED,0.88
sw3777-ms98-a.phrases,0.8098154781988732,SW_PROCESSED,0.87
sw3783-ms98-a.phrases,0.9110919851496055,SW_PROCESSED,0.92
sw3811-ms98-a.phrases,0.763820726403589,SW_PROCESSED,0.78
sw3819-ms98-a.phrases,0.8563512174612143,SW_PROCESSED,0.86
sw3826-ms98-a.phrases,0.8140721073942649,SW_PROCESSED,0.83
sw3829-ms98-a.phrases,0.8683711681682799,SW_PROCESSED,0.88
sw3836-ms98-a.phrases,0.8930734437477504,SW_PROCESSED,0.91
sw3848-ms98-a.phrases,0.8318008760476353,SW_PROCESSED,0.88
sw3857-ms98-a.phrases,0.90663964228033,SW_PROCESSED,0.89
sw3860-ms98-a.phrases,0.801906986533878,SW_PROCESSED,0.83
sw3861-ms98-a.phrases,0.7865984829454309,SW_PROCESSED,0.83
sw3878-ms98-a.phrases,0.8775807415259546,SW_PROCESSED,0.93
sw3905-ms98-a.phrases,0.8811870889759592,SW_PROCESSED,0.87
sw3906-ms98-a.phrases,0.803394559611186,SW_PROCESSED,0.84
sw3927-ms98-a.phrases,0.9035026730650595,SW_PROCESSED,0.88
sw3942-ms98-a.phrases,0.8511344415905802,SW_PROCESSED,0.8
sw3945-ms98-a.phrases,0.8630436757893323,SW_PROCESSED,0.9
sw3946-ms98-a.phrases,0.8706848924053006,SW_PROCESSED,0.9
sw3958-ms98-a.phrases,0.8870295437282446,SW_PROCESSED,0.9
sw3964-ms98-a.phrases,0.8615184085837061,SW_PROCESSED,0.87
sw3976-ms98-a.phrases,0.9238357515922991,SW_PROCESSED,0.93
sw4020-ms98-a.phrases,0.8485586857493785,SW_PROCESSED,0.86
sw4024-ms98-a.phrases,0.9358442718033453,SW_PROCESSED,0.92
sw4027-ms98-a.phrases,0.8864163516366835,SW_PROCESSED,0.88
sw4030-ms98-a.phrases,0.8787365512207843,SW_PROCESSED,0.89
sw4060-ms98-a.phrases,0.8613463547976157,SW_PROCESSED,0.87
sw4066-ms98-a.phrases,0.8529954644639691,SW_PROCESSED,0.88
sw4090-ms98-a.phrases,0.8963254079523031,SW_PROCESSED,0.87
sw4104-ms98-a.phrases,0.9168278437877102,SW_PROCESSED,0.88
sw4105-ms98-a.phrases,0.8998033377883246,SW_PROCESSED,0.91
sw4113-ms98-a.phrases,0.933025725890225,SW_PROCESSED,0.91
sw4114-ms98-a.phrases,0.8662165906025006,SW_PROCESSED,0.88
sw4115-ms98-a.phrases,0.8399222727265263,SW_PROCESSED,0.83
sw4128-ms98-a.phrases,0.8146320631887525,SW_PROCESSED,0.87
sw4130-ms98-a.phrases,0.8395467759253967,SW_PROCESSED,0.88
sw4141-ms98-a.phrases,0.81201712705975,SW_PROCESSED,0.83
sw4149-ms98-a.phrases,0.8451934314113244,SW_PROCESSED,0.84
sw4164-ms98-a.phrases,0.9145847186523786,SW_PROCESSED,0.9
sw4186-ms98-a.phrases,0.8586409413446997,SW_PROCESSED,0.85
sw4196-ms98-a.phrases,0.7321898986456605,SW_PROCESSED,0.84
sw4200-ms98-a.phrases,0.847718290773174,SW_PROCESSED,0.84
sw4201-ms98-a.phrases,0.9107838634492238,SW_PROCESSED,0.93
sw4205-ms98-a.phrases,0.7314108561096212,SW_PROCESSED,0.75
sw4206-ms98-a.phrases,0.8598250522411183,SW_PROCESSED,0.85
sw4211-ms98-a.phrases,0.8314429965403451,SW_PROCESSED,0.8
sw4215-ms98-a.phrases,0.9470912123230755,SW_PROCESSED,0.95
sw4218-ms98-a.phrases,0.8882811058034255,SW_PROCESSED,0.92
sw4222-ms98-a.phrases,0.864914815274778,SW_PROCESSED,0.86
sw4229-ms98-a.phrases,0.9401221886489268,SW_PROCESSED,0.93
