archivo,lsm_model,grupo,lsm_liwc
sw3000-ms98-a.phrases,0.8903264694313917,SW_PROCESSED,0.89
sw3002-ms98-a.phrases,0.792421869204545,SW_PROCESSED,0.82
sw3006-ms98-a.phrases,0.949072549316826,SW_PROCESSED,0.94
sw3008-ms98-a.phrases,0.8574934382922714,SW_PROCESSED,0.87
sw3013-ms98-a.phrases,0.9039747871989096,SW_PROCESSED,0.91
sw3014-ms98-a.phrases,0.9183522762671156,SW_PROCESSED,0.9
sw3016-ms98-a.phrases,0.833446211793787,SW_PROCESSED,0.85
sw3020-ms98-a.phrases,0.8758382890618379,SW_PROCESSED,0.86
sw3043-ms98-a.phrases,0.8984867388157443,SW_PROCESSED,0.89
sw3049-ms98-a.phrases,0.934579031361254,SW_PROCESSED,0.92
sw3065-ms98-a.phrases,0.887505875301595,SW_PROCESSED,0.86
sw3072-ms98-a.phrases,0.8807141091605757,SW_PROCESSED,0.9
sw3078-ms98-a.phrases,0.8649027341861057,SW_PROCESSED,0.84
sw3079-ms98-a.phrases,0.8036414457858161,SW_PROCESSED,0.82
sw3085-ms98-a.phrases,0.8635392464875213,SW_PROCESSED,0.89
sw3091-ms98-a.phrases,0.8429251191713789,SW_PROCESSED,0.89
sw3099-ms98-a.phrases,0.8369270837222145,SW_PROCESSED,0.87
sw3125-ms98-a.phrases,0.8496583614005495,SW_PROCESSED,0.89
sw3152-ms98-a.phrases,0.8834627667922689,SW_PROCESSED,0.89
sw3153-ms98-a.phrases,0.8893014375986279,SW_PROCESSED,0.91
sw3197-ms98-a.phrases,0.839779512888077,SW_PROCESSED,0.87
sw3198-ms98-a.phrases,0.8957092942715943,SW_PROCESSED,0.93
sw3199-ms98-a.phrases,0.4920616101612081,SW_PROCESSED,0.45
sw3200-ms98-a.phrases,0.8412435491439664,SW_PROCESSED,0.83
sw3224-ms98-a.phrases,0.9445499099297399,SW_PROCESSED,0.9
sw3235-ms98-a.phrases,0.8896584022698226,SW_PROCESSED,0.89
sw3251-ms98-a.phrases,0.8873096449287585,SW_PROCESSED,0.91
sw3266-ms98-a.phrases,0.8691714170944762,SW_PROCESSED,0.88
sw3268-ms98-a.phrases,0.82654048035563,SW_PROCESSED,0.85
sw3275-ms98-a.phrases,0.9177922741163749,SW_PROCESSED,0.93
sw3290-ms98-a.phrases,0.8259796388042843,SW_PROCESSED,0.81
sw3299-ms98-a.phrases,0.8529129467515779,SW_PROCESSED,0.85
sw3300-ms98-a.phrases,0.8365000450677623,SW_PROCESSED,0.83
sw3309-ms98-a.phrases,0.8833626062328562,SW_PROCESSED,0.91
sw3329-ms98-a.phrases,0.9137731124088806,SW_PROCESSED,0.95
sw3350-ms98-a.phrases,0.8908866515256506,SW_PROCESSED,0.87
sw3364-ms98-a.phrases,0.916020734985983,SW_PROCESSED,0.91
sw3376-ms98-a.phrases,0.8329818398453982,SW_PROCESSED,0.85
sw3395-ms98-a.phrases,0.9159243349740064,SW_PROCESSED,0.92
sw3396-ms98-a.phrases,0.874606245386543,SW_PROCESSED,0.84
sw3401-ms98-a.phrases,0.829935067775339,SW_PROCESSED,0.86
sw3405-ms98-a.phrases,0.8477753872679332,SW_PROCESSED,0.85
sw3421-ms98-a.phrases,0.822653071091612,SW_PROCESSED,0.87
sw3422-ms98-a.phrases,0.9237157744691187,SW_PROCESSED,0.87
sw3440-ms98-a.phrases,0.8529485267497281,SW_PROCESSED,0.87
sw3442-ms98-a.phrases,0.8871390466612307,SW_PROCESSED,0.91
sw3444-ms98-a.phrases,0.8459056557171725,SW_PROCESSED,0.92
sw3448-ms98-a.phrases,0.74984216895642,SW_PROCESSED,0.78
sw3477-ms98-a.phrases,0.934823733132802,SW_PROCESSED,0.92
sw3479-ms98-a.phrases,0.8211026679569586,SW_PROCESSED,0.82
sw3492-ms98-a.phrases,0.7963656800649936,SW_PROCESSED,0.81
sw3511-ms98-a.phrases,0.8769224263761568,SW_PROCESSED,0.9
sw3513-ms98-a.phrases,0.7746346546263538,SW_PROCESSED,0.81
sw3521-ms98-a.phrases,0.898173698599912,SW_PROCESSED,0.88
sw3529-ms98-a.phrases,0.8831426734284529,SW_PROCESSED,0.89
sw3530-ms98-a.phrases,0.8135861307197372,SW_PROCESSED,0.83
sw3535-ms98-a.phrases,0.9307972482609326,SW_PROCESSED,0.93
sw3538-ms98-a.phrases,0.8610962954151428,SW_PROCESSED,0.84
sw3546-ms98-a.phrases,0.8602892572688927,SW_PROCESSED,0.93
sw3567-ms98-a.phrases,0.8339340632043288,SW_PROCESSED,0.84
sw3595-ms98-a.phrases,0.8860851192176733,SW_PROCESSED,0.92
sw3603-ms98-a.phrases,0.8498681122523938,SW_PROCESSED,0.89
sw3622-ms98-a.phrases,0.879390865239335,SW_PROCESSED,0.9
sw3628-ms98-a.phrases,0.8632381579930264,SW_PROCESSED,0.89
sw3632-ms98-a.phrases,0.8930991143843494,SW_PROCESSED,0.87
sw3641-ms98-a.phrases,0.8641927817147903,SW_PROCESSED,0.9
sw3651-ms98-a.phrases,0.867061658278542,SW_PROCESSED,0.83
sw3661-ms98-a.phrases,0.8639327748694822,SW_PROCESSED,0.89
