id_virtual,lsm_liwc
01-714_LEE0_vs_SOUT,0.9
01-714_LEE0_vs_SCAL,0.82
01-714_LEE0_vs_GINS,0.82
01-714_LEE0_vs_BREY,0.84
01-714_LEE0_vs_DELL,0.92
01-714_LEE0_vs_OLSO,0.92
01-714_CONN_vs_KENN,0.94
01-714_CONN_vs_SOUT,0.94
01-714_CONN_vs_SCAL,0.85
01-714_CONN_vs_GINS,0.86
01-714_CONN_vs_BREY,0.91
01-714_CONN_vs_DELL,0.96
01-714_CONN_vs_OLSO,0.87
01-714_KENN_vs_SOUT,0.93
01-714_KENN_vs_SCAL,0.86
01-714_KENN_vs_GINS,0.84
01-714_KENN_vs_BREY,0.93
01-714_KENN_vs_DELL,0.93
01-714_KENN_vs_OLSO,0.83
01-714_SOUT_vs_SCAL,0.83
01-714_SOUT_vs_GINS,0.84
01-714_SOUT_vs_BREY,0.87
01-714_SOUT_vs_DELL,0.92
01-714_SOUT_vs_OLSO,0.85
01-714_SCAL_vs_GINS,0.89
01-714_SCAL_vs_BREY,0.86
01-714_SCAL_vs_DELL,0.85
01-714_SCAL_vs_OLSO,0.79
01-714_GINS_vs_BREY,0.81
01-714_GINS_vs_DELL,0.86
01-714_GINS_vs_OLSO,0.78
01-714_BREY_vs_DELL,0.89
01-714_BREY_vs_OLSO,0.79
01-714_DELL_vs_OLSO,0.85
00-9285_REHN_vs_WAGN,0.85
00-9285_REHN_vs_BREY,0.84
00-9285_REHN_vs_GINS,0.82
00-9285_REHN_vs_KENN,0.89
00-9285_REHN_vs_STEV,0.86
00-9285_REHN_vs_SCAL,0.81
00-9285_REHN_vs_SOUT,0.84
00-9285_REHN_vs_HARR,0.86
00-9285_REHN_vs_GORN,0.8
00-9285_WAGN_vs_BREY,0.8
00-9285_WAGN_vs_GINS,0.87
00-9285_WAGN_vs_KENN,0.93
00-9285_WAGN_vs_STEV,0.88
00-9285_WAGN_vs_SCAL,0.78
00-9285_WAGN_vs_SOUT,0.87
00-9285_WAGN_vs_HARR,0.93
00-9285_WAGN_vs_GORN,0.9
00-9285_BREY_vs_GINS,0.92
00-9285_BREY_vs_KENN,0.78
00-9285_BREY_vs_STEV,0.86
00-9285_BREY_vs_SCAL,0.91
00-9285_BREY_vs_SOUT,0.89
00-9285_BREY_vs_HARR,0.8
00-9285_BREY_vs_GORN,0.79
00-9285_GINS_vs_KENN,0.86
00-9285_GINS_vs_STEV,0.92
00-9285_GINS_vs_SCAL,0.89
00-9285_GINS_vs_SOUT,0.91
00-9285_GINS_vs_HARR,0.87
00-9285_GINS_vs_GORN,0.86
00-9285_KENN_vs_STEV,0.89
00-9285_KENN_vs_SCAL,0.76
00-9285_KENN_vs_SOUT,0.85
00-9285_KENN_vs_HARR,0.94
00-9285_KENN_vs_GORN,0.89
00-9285_STEV_vs_SCAL,0.83
00-9285_STEV_vs_SOUT,0.93
00-9285_STEV_vs_HARR,0.9
00-9285_STEV_vs_GORN,0.89
00-9285_SCAL_vs_SOUT,0.85
00-9285_SCAL_vs_HARR,0.78
00-9285_SCAL_vs_GORN,0.77
00-9285_SOUT_vs_HARR,0.89
00-9285_SOUT_vs_GORN,0.87
00-9285_HARR_vs_GORN,0.91
01-518_REHN_vs_BASK,0.82
01-518_REHN_vs_CONN,0.83
01-518_REHN_vs_BREY,0.84
01-518_REHN_vs_GINS,0.8
01-518_REHN_vs_SOUT,0.84
01-518_REHN_vs_STEV,0.83
01-518_REHN_vs_SCAL,0.82
01-518_REHN_vs_KENN,0.85
01-518_REHN_vs_WALL,0.81
01-518_BASK_vs_CONN,0.83
01-518_BASK_vs_BREY,0.89
01-518_BASK_vs_GINS,0.88
01-518_BASK_vs_SOUT,0.92
01-518_BASK_vs_STEV,0.88
01-518_BASK_vs_SCAL,0.96
01-518_BASK_vs_KENN,0.87
01-518_BASK_vs_WALL,0.86
01-518_CONN_vs_BREY,0.88
01-518_CONN_vs_GINS,0.9
01-518_CONN_vs_SOUT,0.84
01-518_CONN_vs_STEV,0.86
01-518_CONN_vs_SCAL,0.85
