archivo,lsm_spacy,lsm_liwc,grupo
sw3000-ms98-a.phrases,0.8949772027792454,0.89,SW_PROCESSED
sw3002-ms98-a.phrases,0.8137387255481885,0.82,SW_PROCESSED
sw3006-ms98-a.phrases,0.9433303053100287,0.94,SW_PROCESSED
sw3008-ms98-a.phrases,0.8554507121625585,0.87,SW_PROCESSED
sw3013-ms98-a.phrases,0.9176195910488609,0.91,SW_PROCESSED
sw3014-ms98-a.phrases,0.903177926999942,0.9,SW_PROCESSED
sw3016-ms98-a.phrases,0.8514351117923977,0.85,SW_PROCESSED
sw3020-ms98-a.phrases,0.88517685676063,0.86,SW_PROCESSED
sw3043-ms98-a.phrases,0.9142956272647446,0.89,SW_PROCESSED
sw3049-ms98-a.phrases,0.9417311662002233,0.92,SW_PROCESSED
sw3065-ms98-a.phrases,0.8896508916538544,0.86,SW_PROCESSED
sw3072-ms98-a.phrases,0.8546601202473778,0.9,SW_PROCESSED
sw3078-ms98-a.phrases,0.8489906357643155,0.84,SW_PROCESSED
sw3079-ms98-a.phrases,0.7987826149661676,0.82,SW_PROCESSED
sw3085-ms98-a.phrases,0.8789370153761673,0.89,SW_PROCESSED
sw3091-ms98-a.phrases,0.8490401023184211,0.89,SW_PROCESSED
sw3099-ms98-a.phrases,0.8429729624105669,0.87,SW_PROCESSED
sw3125-ms98-a.phrases,0.8491505298077995,0.89,SW_PROCESSED
sw3152-ms98-a.phrases,0.8889880801589045,0.89,SW_PROCESSED
sw3153-ms98-a.phrases,0.8933851798169391,0.91,SW_PROCESSED
sw3197-ms98-a.phrases,0.8462130462165439,0.87,SW_PROCESSED
sw3198-ms98-a.phrases,0.8918136395725853,0.93,SW_PROCESSED
sw3199-ms98-a.phrases,0.5013419884127062,0.45,SW_PROCESSED
sw3200-ms98-a.phrases,0.8670695087691965,0.83,SW_PROCESSED
sw3224-ms98-a.phrases,0.9216979849416869,0.9,SW_PROCESSED
sw3235-ms98-a.phrases,0.8976440890035706,0.89,SW_PROCESSED
sw3251-ms98-a.phrases,0.8871816075402699,0.91,SW_PROCESSED
sw3266-ms98-a.phrases,0.8579593527434286,0.88,SW_PROCESSED
sw3268-ms98-a.phrases,0.8491822527723034,0.85,SW_PROCESSED
sw3275-ms98-a.phrases,0.9152634784532621,0.93,SW_PROCESSED
sw3290-ms98-a.phrases,0.849007662391264,0.81,SW_PROCESSED
sw3299-ms98-a.phrases,0.8504710329662936,0.85,SW_PROCESSED
sw3300-ms98-a.phrases,0.838900065478956,0.83,SW_PROCESSED
sw3309-ms98-a.phrases,0.8802040582991649,0.91,SW_PROCESSED
sw3329-ms98-a.phrases,0.9124114837311477,0.95,SW_PROCESSED
sw3350-ms98-a.phrases,0.8889346856884386,0.87,SW_PROCESSED
sw3364-ms98-a.phrases,0.9043720931189949,0.91,SW_PROCESSED
sw3376-ms98-a.phrases,0.852106930573149,0.85,SW_PROCESSED
sw3395-ms98-a.phrases,0.9143819769423325,0.92,SW_PROCESSED
sw3396-ms98-a.phrases,0.8627338600008074,0.84,SW_PROCESSED
sw3401-ms98-a.phrases,0.815239083022891,0.86,SW_PROCESSED
sw3405-ms98-a.phrases,0.870961917465013,0.85,SW_PROCESSED
sw3421-ms98-a.phrases,0.8230393422111859,0.87,SW_PROCESSED
sw3422-ms98-a.phrases,0.9382785626846606,0.87,SW_PROCESSED
sw3440-ms98-a.phrases,0.8311363506943008,0.87,SW_PROCESSED
sw3442-ms98-a.phrases,0.8959561606880537,0.91,SW_PROCESSED
sw3444-ms98-a.phrases,0.8613406475906211,0.92,SW_PROCESSED
sw3448-ms98-a.phrases,0.7597364543847978,0.78,SW_PROCESSED
sw3477-ms98-a.phrases,0.9490640447482572,0.92,SW_PROCESSED
sw3479-ms98-a.phrases,0.8209831614427118,0.82,SW_PROCESSED
sw3492-ms98-a.phrases,0.8084293340139361,0.81,SW_PROCESSED
sw3511-ms98-a.phrases,0.8815253242864387,0.9,SW_PROCESSED
sw3513-ms98-a.phrases,0.7813659793244717,0.81,SW_PROCESSED
sw3521-ms98-a.phrases,0.9086697202676731,0.88,SW_PROCESSED
sw3529-ms98-a.phrases,0.9122773200571239,0.89,SW_PROCESSED
sw3530-ms98-a.phrases,0.8345747783256963,0.83,SW_PROCESSED
sw3535-ms98-a.phrases,0.9262358005540063,0.93,SW_PROCESSED
sw3538-ms98-a.phrases,0.8569111762471879,0.84,SW_PROCESSED
sw3546-ms98-a.phrases,0.8434315723061693,0.93,SW_PROCESSED
sw3567-ms98-a.phrases,0.7450242826003342,0.84,SW_PROCESSED
sw3595-ms98-a.phrases,0.8788558966734836,0.92,SW_PROCESSED
sw3603-ms98-a.phrases,0.8385086098689876,0.89,SW_PROCESSED
sw3622-ms98-a.phrases,0.9048197983854572,0.9,SW_PROCESSED
sw3628-ms98-a.phrases,0.8832186496175171,0.89,SW_PROCESSED
sw3632-ms98-a.phrases,0.9151629645155676,0.87,SW_PROCESSED
sw3641-ms98-a.phrases,0.8591652765557348,0.9,SW_PROCESSED
sw3651-ms98-a.phrases,0.8773838129537261,0.83,SW_PROCESSED
sw3661-ms98-a.phrases,0.8495538775218309,0.89,SW_PROCESSED
sw3679-ms98-a.phrases,0.7830343869668043,0.85,SW_PROCESSED
sw3682-ms98-a.phrases,0.8280224666760725,0.84,SW_PROCESSED
sw3686-ms98-a.phrases,0.8370445678032634,0.83,SW_PROCESSED
sw3698-ms98-a.phrases,0.9532898982213283,0.94,SW_PROCESSED
sw3700-ms98-a.phrases,0.7498084344990346,0.69,SW_PROCESSED
sw3702-ms98-a.phrases,0.8584970461890572,0.9,SW_PROCESSED
sw3724-ms98-a.phrases,0.8986459207716383,0.9,SW_PROCESSED
sw3735-ms98-a.phrases,0.8734675264512819,0.86,SW_PROCESSED
sw3747-ms98-a.phrases,0.8077165439491756,0.79,SW_PROCESSED
sw3757-ms98-a.phrases,0.8807067703848963,0.87,SW_PROCESSED
sw3758-ms98-a.phrases,0.8796233913123068,0.87,SW_PROCESSED
sw3760-ms98-a.phrases,0.9125874667887062,0.93,SW_PROCESSED
sw3771-ms98-a.phrases,0.8725698908392747,0.88,SW_PROCESSED
sw3777-ms98-a.phrases,0.8098154781988732,0.87,SW_PROCESSED
sw3783-ms98-a.phrases,0.9110919851496055,0.92,SW_PROCESSED
sw3811-ms98-a.phrases,0.763820726403589,0.78,SW_PROCESSED
sw3819-ms98-a.phrases,0.8563512174612143,0.86,SW_PROCESSED
